id,title,text,time_created,link
11,【伊達搶人才！】阿仙奴22-23球迷吹水區 MMCCCXXX,"2022/2023 Signing








?*:.。.Arsenal cP.。.:*?






連登阿狗FPL league code:
歡迎大家Join?",2023-01-01 14:37:05,https://lihkg.com/thread/3264491/page/1
12,招攬人才,"某日，一間大公司登報「招攬頂級人才」，有位人才看後應徵，竟獲CEO親自接見，還談了大半小時，即時決定要請他。

人才回家仔細考慮，心想：這位CEO雖然笑口噬噬，說話卻空洞無物，句句廢話，實乃庸才一個！若屈居其下，必定心有不甘。若做得太好，又擔心引起他的猜忌，動輒被嫁禍批鬥，落得一無所有。況且，董事局能揀選如此庸才作CEO，公司好極有限，加入也沒有前景，倒不如找過另一間有雄心的公司吧！

果然，幾年後，人才已貴為另一大公司的副總裁，因業務買賣而要和庸才公司洽談，發覺後者的一大堆高級行政人員也是庸才。再過幾年，那公司便因虧空而倒閉了。庸才不會為公司生財，洗錢卻很爽快。",2022-10-19 21:35:59,https://lihkg.com/thread/3185059/page/1
13,[Switch] Splatoon 3 [28] 熊先生成立閪霸搶人才辦公室,"斯普拉遁 3 Direct 2022.8.10









https://youtu.be/_wQ-Kfx8J9c



徵大量華人~ 絕無可疑！非西港地區或園區 高薪、愉快的打工環境。 最重要是可以和我一起工作

----------------------------------

《斯普拉遁3》（日語：スプラトゥーン3，英語：Splatoon 3）預定於2022年9月9日全球發售。

系列最新作首次中文化！
在大自然中！在大都會中！
更加豐富的占地對戰！

《斯普拉遁3》是以稱之為「蠻頹鎮」，俗稱「混雜鎮」的地方為舞台背景。自古以來就是進化後的魷魚和章魚等海洋生物居住的地方。這裡混雜了不同時代的建築，形成了自己獨特的文化。在這裡「占地對戰」似乎仍是相當盛行。分成 4 對 4 兩隊以塗抹面積一決勝負的基本規則依舊不變。不過，據說也有新的主要武器和特殊武器，其趨勢可是有很大的變化。

此外，在單人遊玩的「英雄模式」中將以 “哺乳類的回歸” 為這次的主題。這個世界，除了兩隻貓以外，哺乳類應該都已經從地上消失了才對。這句話究竟是什麼意思呢？

《斯普拉遁 3》（Splatoon 3）占地對戰遊玩影片





https://youtu.be/T_r7VdfIRZg




香港官方網站：
https://www.nintendo.com.hk/switch/av5ja/
斯普拉遁 3 Nintendo HK官方頻道
https://m.youtube.com/playlist?list=PLTYTU2rFOuKI_509GctXGfNlXdgmh4NkW
日本官方網站：
https://www.nintendo.co.jp/switch/av5ja/
魷魚研究所（日文）：
https://www.nintendo.co.jp/switch/av5ja/report/index.html
日本官方Twitter：
https://twitter.com/splatoonjp
舊作(Splatoon 2) 遊戲介紹 / 攻略 / 心得 https://lihkg.com/thread/1939523",2022-10-22 00:59:37,https://lihkg.com/thread/3187602/page/1
14,曾俊華：「分不清香港是挽留人才、吸引人才，或是趕走人才」,"今時今日，我哋究竟係要留住人才、吸引人才，定係趕走人才？有時候，我也都搞不清。

我知道好多朋友近期都將新加坡同香港比較，覺得對方後疫情嘅復常步伐較香港快得多，成功搶去香港唔少原有嘅生意同人才。呢啲情況的確發生緊，但其實我唔覺得新加坡真係咁吸引，如果唔係，人家一早就選擇咗去新加坡。依家唔少生意人或者專才轉戰當地，係因為佢哋需要一個開放嘅環境去做生意同工作，冇可能長期被困愁城，所以變咗選擇不多。

好似我擔任顧問嘅一間投資公司，佢兩個始創人同Co-CEO，因為呢幾年覺得喺香港做唔到生意，所以早兩年已分頭行動，一個去咗歐洲，一個去美國，睇下有乜嘢可以投資，有乜嘢值得買，然後再成立基金等等。佢哋去呢啲地方，都係因為當地容許你自由進出，再冇嚴格嘅防疫檢疫限制。公司依家仲計劃喺歐洲同美國開設分公司，落地生根。不過，基於香港仍然奉行低稅率，所以都會保留back office喺度，但係人才同資金外流，已是不爭嘅事實。香港當年花多幾多時間先成為亞洲嘅國際金融中心，但摧毀佢，只要一瞬間。當資金同人才離開之後，日後係咪會回流返嚟，我係抱懷疑態度。

我哋做開公共政策嘅人，係會比較關注社會上有冇啲乜嘢pull同push factor去吸引人嚟，或者相反導致人離開。出入境嘅防疫限制固然會推人走，但近日聽見有說法話研究強制醫護人員要喺公營醫療系統做夠一定年期先走得，我覺得呢啲都係另一啲push factor驅使喺公營醫療機構服務嘅醫護離開。

不論係2009年因為心臟血管栓塞入院，或之後因其他健康問題，我都有到公院接受治療嘅經驗，對我嚟講，呢啲經歷我都係相當正面嘅，我覺得好多公院醫生擁有極豐富嘅專業知識，不少喺佢哋嘅專業範疇可以話係頂尖人馬，好多醫護服務社會嘅心都好強，我絶對唔會懷疑佢哋服務社會嘅初心。公院人手短缺，但病人眾多，醫護工作壓力之大，相信市民都好明白，但願唔好再阿茂整餅，搞出更多令醫護人才流失嘅push factor就好。",2022-11-07 09:21:36,https://lihkg.com/thread/3205141/page/1
15,許正宇：「0+3」後，人才已陸續返港；「搶人才」後 吸引更多人才,"【Now新聞台】財經事務及庫務局局長許正宇表示，檢疫措施放寬至「0+3」後，金融人才已陸續返港，相信多項「搶人才」措施落實後，能吸引更多人才。對於在未來基金撥款成立「共同投資基金」，他強調會審慎投資。

https://news.now.com/home/finance/player?newsId=495237",2022-10-27 18:15:11,https://lihkg.com/thread/3194035/page/1
16,香港真係充滿crypto人才,"繼上次stable magnet幾件bu cu仔rug左人20M 美金之後今次又有個香港人rug左13000粒eth

折合大約60M美金

但今次佢老竇都比人起埋出來

https://twitter.com/centuryman_/status/1454384748596502528?s=21

邊位巴打做既麻煩趣趣地出來認左佢
比1000粒eth我可以教你點拆",2021-10-30 18:39:32,https://lihkg.com/thread/2756128/page/1
17,係人才都應該會想走？,利申，創業撚，公司依家十幾人，業務結構基本成形，但國安法下覺得前景迷糊，好似任何發展都有機會踩線，之後犯咩法被沒收資產都唔知諗緊不如縮減業務，早走早著，晌自由既地方重新開始。,2020-07-07 09:15:10,https://lihkg.com/thread/2097497/page/1
18,荷蘭吸緊高學歷人才,"我就係打手
讀左master/phd嘅巴打可以考慮下，
唔好留喺香港浪費自己

orientation visa同留學荷蘭嘅post study visa一樣，
一年時限 一年之內如果你搵到工轉working visa
離開鬼國 

有無清搏一搏
Foreigners who are highly educated graduates can legally live in the Netherlands by applying for a Dutch residence permit for the purpose of taking one 'orientation year'.

If you've been awarded a Master's or PhD degree from abroad at one of the world's top universities within the last three years, you can apply for a residence permit to stay in the Netherlands for one year to look for work.

This visa is open to citizens of all nationalities!

Hong Kong:
1) The University of Hong Kong
2) The Hong Kong University of Science and Technology;
3) The Chinese University of Hong Kong;
4) City University of Hong Kong;
5) The Hong Kong Polytechnic University;",2018-08-09 22:30:14,https://lihkg.com/thread/773498/page/1
19,李家超：即日起開放越南人才來港就業簽證政策搶人才,"政府的搶人才、留人才，措施包括：

- 成立「人才服務辦公室」 —— 繼去年推出「人才服務窗口」線上平台後，實體「人才服務辦公室」將在本月底正式成立，為來港人才提供支援、跟進人才入境後的發展和需要等。明年亦會舉辦「全球人才高峰會暨粵港澳大",2023-10-25 11:45:16,https://lihkg.com/thread/3536425/page/1
20,[BL] 231回召集腐男腐女 入咗嚟就係腐嘅人才,"腐男腐女PO開咗喺娛樂台好多個歲月, 但近來講二次元多過三次元所以轉去動漫台開PO

無論係小說 動漫 劇 各種同人 
都可以入黎一齊分享交流
分享作品個陣可以highlight名稱方便之後整合  唔會做的
可以講多少少內容同評分
幫助其他朋友食用
求文可以講下想要咩類型同之前睇過咩文覺得自己啱

https://lihkg.com/t/521538/1
BL綜合作品簡介

外貌評分表:
5**：世界既Bug日
5* ：男神
5 ：明星樣
4 ：校草
3 ：中上
2 ：普通
1 ：柒
U ：生化樣",2022-11-07 14:11:23,https://lihkg.com/thread/3205378/page/1
21,【江山代有人才出】阿仙奴18-19球迷吹水區 DCCCX,"2018-19



   Arsenal till I die  



Victoria Concordia Crescit",2018-11-06 20:30:01,https://lihkg.com/thread/891860/page/1
22,傳公務員減薪 公務員工會反對 憂人才流向私人巿場,"2022-03-31 18:07

本港深受疫情侵襲，百業蕭條，近日網上更出現公務員今年或會減薪的傳聞，不過公務員工會聯合會總幹事梁籌庭向本網表示，網上的消息「得個吹字」，未能盡信，又指工會反對政府不按機制調整公務員薪酬，擔心會進一步削減公務員的吸引力，導致更多的員工流向私人巿場。

政府每年會量度私營機構年度之間的薪酬變動，再計及香港經濟狀況、政府財政狀況、職方對薪酬調整要求、公務員士氣等因素，去決定公務員薪酬調整。梁籌庭指，2022年薪酬趨勢調查的數據需要取至4月1日，預計最快要到5月中才會有薪酬趨勢調查的結果。

他又指工會曾反對今年繼續進行薪酬趨勢調查但政府未有理會，認為政府「係想做個數據出嚟係負數」，惟數據未能反映現實情況，疫情一過私人巿場的薪酬情況會好轉，但公務員一年檢討一次，會有滯後。

在公務員士氣方面，梁籌庭坦言「同事一定唔Like呢壇野（減薪），一定會有意見」，又指目前公務員招聘有困難，年輕人覺得有太多掣肘，而不想加入政府；加上近年移民人數增加，私人巿場出現空缺，或會令公務員流向私人巿場：「新入職的公務員只有萬三、四蚊，喺私人巿場一定搵到，除非你做差人，薪高糧準，但警察招聘都有困難。」他建議政府應盡快宣布凍薪，相信可保持同事士氣。

華員會會長利葵燕亦向本網表示，未有聽聞公務員減薪的消息。她認為即使薪酬趨勢調查結果是負數，也認為沒有理據減薪，因公務員在疫情期間「唔係拉閘閂門唔洗做野」，大部分公務員工作量都增加，亦要參與抗疫，「有聲音覺得（公務員）做多咗嘢，仲辛苦過以前。」

她又指政府若向公務員開刀，會影響私人巿場，不利於刺激經濟復甦。華員會認為，公務員有社會責任，亦應與巿民共渡時艱，今年凍薪是較為平衡的做法，",2022-03-31 18:12:02,https://lihkg.com/thread/2948976/page/1
23,政府：聚人才,"https://youtu.be/r_aTvkY13As


香港潛力無限，聚人才，創未來",2023-01-13 21:26:17,https://lihkg.com/thread/3276991/page/1
24,IT人才請進,如果我用公司電腦打機啲IT佬知唔知??,2021-05-13 10:14:42,https://lihkg.com/thread/2528175/page/1
25,洛桑人才賽,"https://hk.lifestyle.appledaily.com/lifestyle/columnist/尊子/daily/article/20181123/20552301

洛桑人才賽 - 尊子





尊子 
電郵 :mcwriter@appledaily.com

上一則
上一則
貴婦「假頭像」 (李碧華)

下一則
下一則
誰是大母豬 (李純恩)",2018-11-23 19:57:55,https://lihkg.com/thread/913452/page/1
26,[搶人才]辣招礙地產發展及吸納人才,梁志堅今日出席經民聯晚宴時指出，星期三公布的新一份《財政預算案》，應撤銷樓市辣招，並且形容辣招已經「名存實亡」，認為市場環境與11年前大不相同，認為繼續保持「辣招」屬於「阻住地球轉」，不但影響地產發展，海外人才亦難以在香港置業，最終阻礙吸納人才。,2023-02-20 20:52:37,https://lihkg.com/thread/3311691/page/1
27,香港人才對比祖國人才仲有咩優勢？,"#CU7090 ""RE #CU7088
留香港搵錢ge前提係你個人同身家隨時走得
睇大陸疫情完咁多人想潤就知
關鍵時刻最大保障係你的身份
無可否認呢2、3年因為移民潮同疫情鎖香港少左30萬打工仔
人力市場出現加人工搶人
但問題係一旦疫情完結後解封
祖國人才可以源源一火絕南下
今年祖國有1000幾萬大學畢業生，青年失業率18%
科技公司大量向社會輸送人才
以前就話俾條深圳河上無形的制度分隔兩地勞動市場
將來邊有唱支歌仔唱?
香港人才對比祖國人才仲有咩優勢？",2022-07-20 20:38:50,https://lihkg.com/thread/3082001/page/1
28,發現好多人以為人才離港，自己留係香港就會升格做人才,,2022-03-31 10:25:45,https://lihkg.com/thread/2948459/page/1
29,呂爵安 Edan x 邱鋒澤廣東話新歌《一表人才》已出！,https://youtu.be/cDxyjfCFwC0,2021-11-18 12:37:36,https://lihkg.com/thread/2777419/page/1
30,[AN/IOS][MOBA] Garena傳說對決(5) 只有殺死敵人，才能不死,"歡迎來到傳說對決


Q：咩驚來？好玩嗎？
A：我唔直接答你，我用條片嚟答你 
https://www.youtube.com/watch?v=xaO7Lf_068Q
A：睇完條片，其實就會知道係經典既三路MOBA遊戲；若果你有打過信長、LOL既話，咁就應該更容易上手，輕鬆虐新手。 

Q：明就明，咁同王者榮耀、獵神有咩分別？
A：依層樓主答你唔到，不過有巴打講過係Garena出品起碼無咁伏。其餘既都要等各位玩家自己去嘗試同發掘下。

Q：新手揀咩英好？剩係得凡恩同趙雲？
A：你可以入街場(5v5經典競技)到試到唔同既英雄，事關傳說對決會係街場到定期、限時開放唔同既英雄。英雄種類分為：坦克、法師、刺客、戰士、射手。另外每日玩夠6場都有英雄體驗卡可以試用一日，玩到一隻啱心水既就去練啦。

Q：金錢同寶石有咩用？
A：記得依隻驚，金錢係永遠重要過寶石，原因係金錢要用嚟買奧義，而你既目標係盡早搵到一隻合適自己既英雄，然後後期儲齊一套3級奧義，用嚟提升你既英雄係場上面既作戰力 ，而且金錢既來源極有限兼有每日有賺取上限；相反寶石只可以用嚟買英，或者其他小道具例如金錢卡、經驗卡，對提升英雄既戰鬥能力無直接效果。有能力既應該課金買英，金幣買奧義。

Q：講咁多，邊隻英雄最好J？ 
A：自己睇啦 


你以為仲有Q&A？咁你就錯喇，
有啲咩野自己係樓下問啦

《傳說對決》官網：
https://moba.garena.tw/

《傳說對決》官方面書：
https://www.facebook.com/Garena-%E5%82%B3%E8%AA%AA%E5%B0%8D%E6%B1%BA-1164866106908877/
各位巴打記得留意佢地面書，因為小至活動推廣、大至停Ser維護，佢地都經常透過面書發布，所以Follow定就可以緊貼狀況啦。

另外想入whatsapp group既按條link 
https://chat.whatsapp.com/BHbJSXchRn22lMnENHlPSU",2017-03-20 17:57:33,https://lihkg.com/thread/163876/page/1
31,原來咁多人才黎咗香港？,,2023-02-07 19:39:01,https://lihkg.com/thread/3300076/page/1
32,搶尼泊爾人才，與各國人才優缺點一覽,,2023-10-25 14:31:59,https://lihkg.com/thread/3536611/page/1
33,咁多新措施”搶”外地人才，咁本地人才呢？,同埋所謂嘅外地人才，其實九成都係中国天龍人，真係得啖笑,2022-10-19 13:22:46,https://lihkg.com/thread/3184514/page/1
34,人才vs高才GAOCAI,有何分別？,2023-10-09 23:04:52,https://lihkg.com/thread/3523178/page/1
35,澳門人才引進,"澳門特別行政區立法會於2023年5月18日細則性討論及表決通過《人才引進制度法律》法案。有關法律自2023年7月1日起生效。

特區政府將陸續公佈各項人才引進計劃的詳情及“人才引進計劃電子申請平台”的開通日期。

source：https://www.scdt.gov.mo/zh-hant/talent-recruitment-system/

大家一起去澳門等派錢",2023-05-22 11:53:20,https://lihkg.com/thread/3395023/page/1
36,人才終於進駐,"https://twitter.com/juno_ngan/status/1658145769998909441?s=46&t=oCGRAUAAO0FEkwjdFxGfvg

一車車送過黎建設美麗新香港",2023-05-16 00:26:30,https://lihkg.com/thread/3389446/page/1
37,83歲香港人才,"https://youtu.be/oX_FZdbTVCg

做到經理級都冇樓",2023-04-29 15:19:37,https://lihkg.com/thread/3374956/page/1
38,搶排隊人才啊,,2023-02-28 16:00:53,https://lihkg.com/thread/3319644/page/1
39,搶乜撚野人才,"好地地叫 招募人才 吸引海外精英 徵才 唔得
係要搶搶搶 搶你老母",2022-12-23 16:53:20,https://lihkg.com/thread/3255786/page/1
40,啟明是個人才,"大家好，我是民協何啟明。我從政至今的最大問題，就是介紹自己時，我的名字要由三個字變五個字。這兩天我收到最多的訊息，是一句「我真係恭喜你呀！」。在街站的時候，真的有街坊對我說，有常常看我和某藍絲 KOL 做網上節目。現在啟明升官了，人選不是我，我倒樂得清閒，不必再費神對人解釋我沒有做過那些腦殘藍絲節目，但同時作為藍絲 9upper 的西門梓敬，則應該會恨得牙癢癢。

IQ 博士羅致光為何選上弱化版何啟明當副手，語焉不詳。教育局副局長蔡若蓮背景根正苗紅，但也有小學校長、教聯會副主席的資歷。在工聯會中，能與蔡副局等量齊觀的人選，首推敢於林鄭面前犯顏直諫的麥美娟；就算娟娟不想當林鄭的女僕，論外表四正有紋眉達人鄧家彪，論勇悍則有陸頌雄郭偉強，怎樣也輪不到我這個弱化版，年屆 35 歲就可以坐袋二百多萬元年薪。將此等人才置於一眾政務官頭上，如何服眾？

不過如果我們代入政府一貫顛倒的邏輯，何啟明所展示的低能力值，或者正是他中標的原因：委任他正是對所有公務員的警示，政治忠誠度是衡工量值的唯一標準，立場先於能力，若有異議就是違反「效忠特區政府和行政長官」的「政治中立」原則。中共在香港大搞文革 2.0，政府已經針對教育界和港台出招，整頓乃至清洗公務員隊伍，甚或在政務官系統中實現劣幣驅逐良幣的大換血，勢在必行。委任何啟明可以在新政治形勢下，建立官場升遷的樣板，同時也可以引蛇出洞抽出內部志慮不純的 AO，這正是何啟明的「無用之用」。

只是正如朱凱廸提到，何啟明上周五還在立法會財委會投票支持政府，而星期六政府就宣佈任命，他在投票時無可能還未跟政府簽約，而投票時沒有利益申報或者避席，就牽涉利益衝突，屬於公職人員失當。對於一上任就能夠考驗勞福局和政府新聞署的保鑊能力，何啟明不愧為「智將」。",2020-06-03 10:14:47,https://lihkg.com/thread/2048592/page/1
41,Kong U人才輩出,"孫中山 (就讀於Kong U前身, 香港西醫學院)
革命尚未成功 同志仍需努力


梁天琦 (Kong U Philosophy & Politics)
當獨裁成為事實 革命就係義務


仲有陳巧文
https://www.youtube.com/watch?v=G4jWFqc-RPQ

當年因為佢唔著街 d八卦誌當佢係佔旺三傻咁報
又話佢著得少一定係搏出位
其實佢係行動升級第一人
都係嗰句 佢走得太前
當個個仲只係苦行既時候
佢已經自己升級左先

當年year 1, 有去苦行, 依家諗返覺得自己嗰時on99唔知做乜, 冇理過佢段宣言",2019-07-04 19:19:16,https://lihkg.com/thread/1284949/page/1
42,政府又搶人才，出成 70K請IT ？,"https://hk.jobsdb.com/hk/search-jobs/t+contract/1





咁就 70K，連登仔叫人唔好做IT",2023-01-17 22:41:04,https://lihkg.com/thread/3280852/page/1
43,搶人才網站新式英文招聘,"香港政府個搶人才網站見到個top tier ibank 職位空缺""Experience in private bank is prefer""
想問下香港而家係咪全面落實母語教學，無再教英文grammar
我對呢個職位都幾有興趣，有無人可以教我點apply
在線等",2022-12-31 09:05:20,https://lihkg.com/thread/3263252/page/1
44,中國就係要呢種發言人才,"? https://youtu.be/3fHtjyNGyYg


牆內已被刪",2020-06-22 13:55:30,https://lihkg.com/thread/2074435/page/1
45,中國頂尖外交人才，盡力了...,"https://youtu.be/Mb2_e0Dvz5U

中國特使上澳大利亞電視節目宣傳，屢次引起哄堂大笑，豪言中國犧牲自己拯救世界，指責西方媒體都是假新聞，並多次現場表演骨頭裏面挑雞蛋。中國頂尖外交人才，盡力了...",2020-02-28 07:41:50,https://lihkg.com/thread/1901461/page/1
46,李慧琼促「搶人才」　倡免海外人才置業印花稅、允子女入讀公營學校,"https://m.mingpao.com/ins/港聞/article/20221005/s00001/1664939827634/李慧琼促「搶人才」-倡免海外人才置業印花稅-允子女入讀公營學校

特首李家超兩周後將會發表任內首份施政報告，民建聯主席李慧琼表示，本港勞動人口緊張，面對人才流動及生育率低的問題，認同政府需更進取「搶人才」。她又期望，施政報告會提及入境檢疫「0+0」方案的時間表。

李慧琼於港台節目表示，政府可考慮延長在港留學生簽證期限，吸引他們留港工作。她又建議，可提供更多誘因吸引海外人才留港工作，包括讓其子女入讀本地不同學校如公營學校，亦可考慮免除海外人才在港置業時繳付印花稅等。

她又表示，政府需有短中期規劃，重視及聚焦人口政策，以進一步提升勞動力。",2022-10-05 11:33:08,https://lihkg.com/thread/3169190/page/1
47,[優秀人才] 政府公布首份人才清單 涉11項專才,"政府為吸引來自世界各地的優秀人才，今日公布首份香港人才清單，共包含11項專業。政府將通過「優秀人才入境計劃」，按現時年度1000的配額，為人才清單下合資格人士提供入境便利。「優秀人才入境計劃」今日起接受合資格人士的申請。

政務司司長張建宗表示，歡迎來自世界各地具備寶貴技能、知識和經驗的人才來港工作，公布人才清單是其中一項主要措施，有助香港在吸引國際人才時取得競爭優勢，創造群聚效應，並刺激本地人才的發展，推動香港向前邁進。

11項專業包括資深廢物處理專家或工程師；資深資產管理專才；資深海運保險專才；精算師；資深金融科技專才；資深數據科學家及資深網絡安全專家；創新及科技專家；造船師；輪機工程師及船舶總管；創意產業專才；及專門解決國際金融及國家與投資者之間糾紛的爭議解決專才；及擁有處理來自投資或東道國跨境交易的專門知識及經驗的業務交易律師。",2018-08-28 16:22:01,https://lihkg.com/thread/797056/page/1
48,搶人才｜陳國基：搶人才是主動積極非「強盜」 有信心3年可補回流失人才,"《施政報告》當中以「搶人才」為重點，政務司司長陳國基接受電視訪問時指，有信心在3年內補回已流失的人才，甚至會比現時的勞動水平更高。他又反駁「搶」並非負面的用語，對他而言是積極主動的意思。

了解陳國基稱3年共可培育近25萬人才詳情：
陳國基指本港每年可提供約50,000名本地大專畢業生。
陳國基表示政府計畫每年輸入35,000名人才來港。
陳國基稱政府可為人才提供最客觀資料，包括住屋資訊。
陳國基表示政府無港人移民原因的資料。

陳國基表示，現時政府計畫每年輸入35,000名人才來港，加上每年約50,000名本地大專畢業生，絕對可以滿足本港對人才的需求，有信心在2025年，勞動人口會高於現今水平。

被問及有意見指「搶」人才有「強盜」感覺，陳國基指，「搶」字對他而言是積極主動的意義，而非「強盜」，又指《施政報告》對人才十分重視，人才服務窗口將於2022年底成立，除公務員外，亦有宣傳推廣及人力資源的專家，為海外人才提供資訊及一站式服務。他指政府無港人移民原因的資料，如有人不同意政府，或認為在其他地方生活更舒服，離開是其個人選擇。

訂閱星島網singtao.ca電郵快訊，每天可收到最快新聞資訊： 
https://www.singtao.ca/6095054/2022-11-21/news-%E6%90%B6%E4%BA%BA%E6%89%8D%EF%BD%9C%E9%99%B3%E5%9C%8B%E5%9F%BA%EF%BC%9A%E6%90%B6%E4%BA%BA%E6%89%8D%E6%98%AF%E4%B8%BB%E5%8B%95%E7%A9%8D%E6%A5%B5%E9%9D%9E%E3%80%8C%E5%BC%B7%E7%9B%9C%E3%80%8D+%E6%9C%89%E4%BF%A1%E5%BF%833%E5%B9%B4%E5%8F%AF%E8%A3%9C%E5%9B%9E%E6%B5%81%E5%A4%B1%E4%BA%BA%E6%89%8D/?variant=zh-hk",2022-11-22 20:53:28,https://lihkg.com/thread/3221766/page/1
